업체명,카테고리명,술집여부,시도명,시군구명,읍면동명,리명,번지,도로명,경도,위도,주차가능여부,운영시간0,운영시간1,운영시간2,운영시간3,운영시간4,운영시간5,10대,20대,30대,40대,50대,60+대
1865이탈리아,양식,0.0,부산광역시,해운대구,재송동,,1212,센텀중앙로90,129.125877297588,35.1755834176929,Y,1.0,0.0,0.0,0.0,1.0,1.0,8,40,5,1,7,6
가두리횟집,일식,0.0,부산광역시,기장군,일광면,삼성리,848-7,해빛6로55,129.226185907182,35.2628179737115,Y,1.0,0.0,0.0,0.0,1.0,1.0,1,2,9,8,1,8
2Chef 본점,일식,0.0,부산광역시,중구,중앙동3가,,10-1,해관로49-1,129.035453080318,35.1034003966707,N,1.0,1.0,1.0,0.0,1.0,1.0,3,4,9,6,8,5
11번지,일식,1.0,부산광역시,동래구,온천동,,707-1,중앙대로1367번길55,129.074819857469,35.2100448945569,N,1.0,0.0,0.0,0.0,1.0,1.0,0,1,34,1,2,9
두툼연어,일식,1.0,부산광역시,부산진구,부전동,,168-342,동천로85번길11,129.061599372169,35.1562045357109,N,1.0,0.0,0.0,0.0,1.0,1.0,3,7,1,8,8,9
가마산,일식,1.0,부산광역시,수영구,민락동,,177-1,광안해변로263,129.122639564934,35.1557193179273,Y,1.0,0.0,0.0,1.0,1.0,1.0,8,9,3,6,5,9
83비프,한식,0.0,부산광역시,동래구,명륜동,,548-4,명륜로129번다길11-1,129.079349648488,35.205703020155,N,1.0,0.0,0.0,0.0,1.0,1.0,5,6,8,2,0,7
내껍데기돌리도,한식,0.0,부산광역시,중구,부평동2가,,33-6,광복로6번길3,129.025802534097,35.0993059554995,N,1.0,0.0,0.0,0.0,1.0,1.0,5,4,3,1,7,0
776막창,한식,0.0,부산광역시,북구,덕천동,,776,만덕대로142번길43-2,129.020398428746,35.211150899011,N,1.0,0.0,0.0,1.0,1.0,1.0,9,5,3,5,4,3
1등가마솥돼지국밥,한식,0.0,부산광역시,중구,부평동2가,,42-4,비프광장로5,129.025863795211,35.0984489156712,N,1.0,1.0,1.0,1.0,1.0,1.0,0,5,9,3,8,4
24시약수터해장국,한식,0.0,부산광역시,금정구,구서동,,1012-6,금샘로421,129.084146098306,35.2605524231121,N,1.0,1.0,1.0,1.0,1.0,1.0,9,3,1,9,2,1
부산순대돼지국밥,한식,0.0,부산광역시,중구,중앙동2가,,49-45,대청로138,129.035119317833,35.1026918330501,N,1.0,1.0,1.0,1.0,1.0,1.0,35,5,6,3,0,4
DK분식,한식,0.0,부산광역시,부산진구,부전동,,254-17,서면로68번길51,129.058552109219,35.1547408926916,N,1.0,1.0,1.0,1.0,1.0,1.0,7,3,6,39,1,4
3BB,한식,1.0,부산광역시,동래구,명륜동,,533-115,명륜로129번길54,129.079333783688,35.2054453701913,N,1.0,0.0,0.0,0.0,0.0,1.0,7,7,7,1,6,8
109IN,기타,0.0,부산광역시,중구,신창동4가,,44-3,국제시장2길33,129.028312505901,35.1024676015828,N,,,,,,,6,3,5,3,8,4
2층으로 드루와,기타,1.0,부산광역시,영도구,동삼동,,812-10,태종로768,129.08087723328,35.0678622694493,N,,,,,,,5,7,8,3,7,2
345 비어,기타,1.0,부산광역시,해운대구,우동,,1435,마린시티3로23,129.146930578457,35.1566471286291,Y,,,,,,,1,6,29,4,3,7
74번가,기타,1.0,부산광역시,사하구,하단동,,490-3,낙동대로549번길1,128.963726257982,35.1125535701512,N,,,,,,,4,8,3,8,4,5
7번가데이,기타,1.0,부산광역시,영도구,영선동1가,,21-2,절영로19번길62,129.043059970287,35.0914104923978,N,,,,,,,7,8,1,2,4,4
가라지,기타,1.0,부산광역시,부산진구,부전동,,215-3,중앙대로680번가길15,129.06065054749,35.1541367559376,N,,,,,,,7,4,0,3,31,7
BB타운 덕포점,기타,1.0,부산광역시,사상구,삼락동,,411-35,사상로309번길38,128.981311746972,35.1726258608975,N,,,,,,,0,3,6,8,0,32
BE,기타,1.0,부산광역시,연제구,연산동,,490-13,과정로109,129.106959323156,35.1811654561201,N,,,,,,,5,8,0,32,4,9
CEO바,기타,1.0,부산광역시,부산진구,부전동,,404-27,서면문화로46,129.055665354661,35.1612629946336,N,,,,,,,2,6,7,8,4,9
33문현곱창,아시아,0.0,부산광역시,연제구,연산동,,1835-3,연수로202,129.092666662149,35.1736852797395,N,,,,,,,3,6,2,0,32,6
띵똥,아시아,0.0,부산광역시,동래구,안락동,,631-94,온천천로453번길5,129.102624099258,35.1916425750979,N,,,,,,,24,6,3,1,1,8
