이름,위도,경도,시도명,시군구명,읍면동명,리명,번지,도로명,도로명상세,주차가능여부,숙박업분류,카테고리명,10대,20대,30대,40대,50대,60+대,숙박유형
베스티호텔,35.12819599,128.8539747,부산광역시,강서구,구랑동,,1205-2,미음산단로,17,Y,,숙박/휴양,104,325,302,498,235,31,호텔
대저캠핑장,35.21594699,128.9910806,부산광역시,강서구,대저1동,,01-05,,,Y,,문화관광/명소,408,489,481,462,428,282,모텔
대저생태공원캠핑장,35.20741419,128.9847474,부산광역시,강서구,대저1동,,01-05,,,,,문화관광/명소,206,427,394,385,289,201,모텔
공항하숙,35.18070548,128.9557911,부산광역시,강서구,대저2동,,1843-22,공항로811번길,60-20,Y,,숙박/휴양,189,86,136,208,402,251,민박
에어포트호텔,35.16569198,128.9545073,부산광역시,강서구,대저2동,,17624,유통단지1로65번길,15,Y,,숙박/휴양,359,441,394,453,365,47,호텔
초롱블루펜션,35.0153664,128.8344939,부산광역시,강서구,대항동,,01-17,가덕해안로1169번길,62-33,Y,,숙박/휴양,385,307,375,466,465,94,펜션
썬앤문풀빌라,35.01548277,128.8341854,부산광역시,강서구,대항동,,03-17,가덕해안로1169번길,96,,,숙박/휴양,314,139,191,470,372,59,펜션
파도소리,35.01621381,128.834598,부산광역시,강서구,대항동,,09-03,가덕해안로1169번길,62-47,,,숙박/휴양,254,51,209,284,396,349,민박
하늘과바다,35.01490389,128.8339249,부산광역시,강서구,대항동,,05-23,가덕해안로1169번길,80,Y,,숙박/휴양,285,178,229,354,318,51,펜션
썬앤문풀빌라,35.01541542,128.834292,부산광역시,강서구,대항동,,11-17,가덕해안로1169번길,104,,,숙박/휴양,297,176,205,480,415,119,펜션
가덕도새바지펜션,35.01469828,128.8344362,부산광역시,강서구,대항동,,24,가덕해안로1169번길,62-22,,,숙박/휴양,401,130,306,451,413,89,펜션
대항체험마을민박,35.01166947,128.8276588,부산광역시,강서구,대항동,,245-1,가덕해안로1207번길,,Y,,숙박/휴양,116,72,88,381,475,408,민박
섬마을장어구이펜션,35.01415788,128.8275994,부산광역시,강서구,대항동,,385,가덕해안로1208번길,45,Y,,숙박/휴양,333,220,262,437,355,33,펜션
대항펜션,35.01373969,128.8274268,부산광역시,강서구,대항동,,388,가덕해안로1212번길,36,Y,,숙박/휴양,262,95,100,493,408,43,펜션
대항민박,35.01312713,128.827622,부산광역시,강서구,대항동,,274,가덕해안로1212번길,20,Y,,숙박/휴양,271,196,230,418,449,430,민박
W모텔,35.10080432,128.9289018,부산광역시,강서구,명지동,,1532-12,르노삼성대로,598,Y,,숙박/휴양,137,374,224,165,138,121,모텔
비엠텔모텔,35.0989412,128.9280046,부산광역시,강서구,명지동,,1526-14,르노삼성대로,576-2,Y,,숙박/휴양,204,418,414,305,267,149,모텔
마틴호텔,35.10112933,128.9285519,부산광역시,강서구,명지동,,1532-11,르노삼성대로,600,Y,,숙박/휴양,130,277,260,452,166,36,호텔
JK호텔,35.10020443,128.9285144,부산광역시,강서구,명지동,,1530-16,르노삼성대로,590,Y,,숙박/휴양,270,451,438,498,385,176,호텔
모텔 제타,35.10393706,128.9294126,부산광역시,강서구,명지동,,1279-35,르노삼성대로,634,Y,,숙박/휴양,134,493,377,202,170,70,모텔
모텔 마르,35.10393697,128.9294125,부산광역시,강서구,명지동,,1279-3,르노삼성대로,634,N,,숙박/휴양,68,433,378,284,176,57,모텔
헤리티지디자인호텔,35.10036501,128.928637,부산광역시,강서구,명지동,,1530-9,르노삼성대로,592,Y,,숙박/휴양,348,411,396,494,391,173,호텔
디자인팝 모텔,35.0990703,128.9279906,부산광역시,강서구,명지동,,1526-13,르노삼성대로,576-4,Y,,숙박/휴양,38,412,340,272,233,31,모텔
씨사이드모텔,35.09830653,128.9277224,부산광역시,강서구,명지동,,1502-2,르노삼성대로,566,Y,,숙박/휴양,170,495,256,192,181,147,모텔
비엠텔모텔,35.0989531,128.9280048,부산광역시,강서구,명지동,,1526-14,르노삼성대로,576-2,Y,,숙박/휴양,317,398,353,333,329,219,모텔
브라운도트호텔 명지점,35.09919408,128.92803,부산광역시,강서구,명지동,,1526-3,르노삼성대로,576-6,Y,,숙박/휴양,229,489,370,497,324,140,호텔
넘버25호텔,35.09402639,128.9081885,부산광역시,강서구,명지동,,44594,명지국제2로28번길,7,Y,,숙박/휴양,195,358,315,405,268,130,호텔
더포인트호텔,35.09340432,128.908121,부산광역시,강서구,명지동,,44595,명지국제2로28번길,8,Y,,숙박/휴양,260,350,267,362,264,234,호텔
호텔오유,35.09218239,128.9017599,부산광역시,강서구,명지동,,32752,명지국제6로,21,Y,,숙박/휴양,174,338,334,467,252,136,호텔
오이아호텔명지,35.093931,128.9001002,부산광역시,강서구,명지동,,29983,명지국제6로1번길,24,Y,,숙박/휴양,92,435,348,484,278,31,호텔
씨엘오션호텔,35.09073409,128.9020713,부산광역시,강서구,명지동,,33848,명지국제6로34번길,22,Y,,숙박/휴양,171,227,223,360,199,133,호텔
신라스테이,35.09670494,128.9052621,부산광역시,강서구,명지동,,34700,명지국제7로,38,Y,,숙박/휴양,240,445,334,455,324,36,호텔
넘버25호텔 명지오션시티점 비즈니스,35.08047764,128.9029945,부산광역시,강서구,명지동,,13667,명지오션시티3로,41,Y,,숙박/휴양,325,378,377,445,362,153,호텔
오션시티호텔,35.08091563,128.9029961,부산광역시,강서구,명지동,,13606,명지오션시티3로,37,Y,,숙박/휴양,213,337,284,395,227,195,호텔
사이버모텔,35.08268928,128.9042159,부산광역시,강서구,명지동,,14519,명지오션시티5로,18,Y,,숙박/휴양,358,448,411,372,361,214,모텔
호텔프렌치코드,35.08361971,128.9042136,부산광역시,강서구,명지동,,3239-15,명지오션시티5로,8,Y,,숙박/휴양,216,387,311,485,229,173,호텔
레전드호텔,35.15964789,128.8639555,부산광역시,강서구,미음동,,1527-1,미음산단5로,48,Y,,숙박/휴양,152,260,219,303,154,77,호텔
마글램핑장,35.1535571,128.8790459,부산광역시,강서구,범방동,,1833,가락대로,929,,,문화관광/명소,262,486,467,420,365,99,모텔
베스트루이스해밀턴호텔 서부산점,35.1468498,128.8788042,부산광역시,강서구,범방동,,1899-5,범방3로29번길,6,Y,,숙박/휴양,229,433,429,460,301,185,호텔
장항펜션,35.05567769,128.8064334,부산광역시,강서구,성북동,,1322,가덕해안로,339,,,숙박/휴양,313,123,302,367,355,51,펜션
대한상공회의소부산인력개발원,35.09132893,128.8488466,부산광역시,강서구,송정동,,1591-7,녹산산단289로,25,,,숙박/휴양,0,0,0,0,0,0,기타
성고개산장,35.11083486,128.8530819,부산광역시,강서구,송정동,,103,신촌소류지길,15-28,Y,,숙박/휴양,241,466,448,405,266,120,모텔
벨라지오모텔,35.086613,128.8811579,부산광역시,강서구,신호동,,213-5,신호산단1로217번길,7,Y,,숙박/휴양,157,458,386,290,228,70,모텔
IW모텔,35.08660413,128.8802745,부산광역시,강서구,신호동,,213-1,신호산단1로217번길,19,Y,,숙박/휴양,103,494,468,184,113,40,모텔
호텔더메이,35.08661568,128.8793305,부산광역시,강서구,신호동,,216-5,신호산단1로217번길,27,Y,,숙박/휴양,64,401,400,492,101,31,호텔
2월호텔,35.0866038,128.8789326,부산광역시,강서구,신호동,,216-3,신호산단1로217번길,31,Y,,숙박/휴양,51,386,227,390,128,44,호텔
S모텔,35.08661107,128.878301,부산광역시,강서구,신호동,,216,신호산단1로217번길,37,Y,,숙박/휴양,102,485,470,442,383,59,모텔
블랑비즈니스호텔,35.0869795,128.8813332,부산광역시,강서구,신호동,,214-8,신호산단1로217번길,10,Y,,숙박/휴양,170,393,372,428,228,46,호텔
까르페호텔,35.08661741,128.8807388,부산광역시,강서구,신호동,,213-3,신호산단1로217번길,15,Y,,숙박/휴양,107,446,318,449,141,48,호텔
호텔에그,35.0866149,128.8786857,부산광역시,강서구,신호동,,216-2,신호산단1로217번길,33,Y,,숙박/휴양,167,368,340,419,325,69,호텔
2월호텔 강서신관,35.08700356,128.8810578,부산광역시,강서구,신호동,,214-9,신호산단1로217번길,12,Y,,숙박/휴양,197,460,305,472,208,64,호텔
모모까르페호텔,35.08661741,128.8807388,부산광역시,강서구,신호동,,213-3,신호산단1로217번길,15,,,숙박/휴양,180,315,215,416,212,83,호텔
브라운도트호텔,35.08331539,128.8707373,부산광역시,강서구,신호동,,317-2,신호산단1로72번길,33,Y,,숙박/휴양,303,450,446,472,360,263,호텔
더브레인호텔,35.08173773,128.8722958,부산광역시,강서구,신호동,,315-4,신호산단1로72번길,58,Y,,숙박/휴양,118,354,281,461,248,69,호텔
호텔더원,35.08289233,128.8709693,부산광역시,강서구,신호동,,317-5,신호산단1로72번길,41,Y,,숙박/휴양,83,287,229,487,124,38,호텔
V호텔,35.08639646,128.8807192,부산광역시,강서구,신호동,,213-8,신호산단2로27번길,33,Y,,숙박/휴양,131,269,249,344,176,130,호텔
비지니스호텔,35.08639259,128.8811301,부산광역시,강서구,신호동,,213-6,신호산단2로27번길,41,Y,,숙박/휴양,214,351,326,486,323,64,호텔
펀모텔,35.08638903,128.8801047,부산광역시,강서구,신호동,,213-11,신호산단2로27번길,27,Y,,숙박/휴양,286,445,442,428,329,260,모텔
브이모텔,35.08639751,128.8807306,부산광역시,강서구,신호동,,213-8,신호산단2로27번길,33,,,숙박/휴양,320,484,453,446,427,136,모텔
이그니스호텔,35.08637727,128.8793003,부산광역시,강서구,신호동,,216-7,신호산단2로27번길,21,Y,,숙박/휴양,174,455,286,492,245,153,호텔
굿프라임호텔,35.14997988,128.8309512,부산광역시,강서구,지사동,,1196-4,과학산단2로,12,Y,,숙박/휴양,54,217,134,345,113,38,호텔
헤르몬호텔,35.15009789,128.8322324,부산광역시,강서구,지사동,,1197-4,과학산단2로10번길,23,Y,,숙박/휴양,173,401,401,478,279,86,호텔
투썸게스트하우스앤펜션,35.04294899,128.8096954,부산광역시,강서구,천성동,,1583,,,,,숙박/휴양,402,253,275,448,435,232,펜션
우리펜션,35.02566624,128.8163069,부산광역시,강서구,천성동,,514,,,,,숙박/휴양,244,145,185,359,265,37,펜션
어울림쉼터펜션,35.02280798,128.8145275,부산광역시,강서구,천성동,,432,가덕해안로,883,,,숙박/휴양,314,77,291,410,406,68,펜션
갈릴리펜션,35.03046001,128.8146009,부산광역시,강서구,천성동,,981,가덕해안로,761,,,숙박/휴양,367,234,236,459,455,71,펜션
카리브의일몰,35.03344314,128.8111763,부산광역시,강서구,천성동,,1335-9,가덕해안로,712,Y,,숙박/휴양,348,191,304,439,378,175,펜션
우진펜션,35.0315126,128.8123775,부산광역시,강서구,천성동,,836-1,가덕해안로,735,Y,,숙박/휴양,137,65,131,207,164,49,펜션
가덕도그린빌펜션,35.03744273,128.8133261,부산광역시,강서구,천성동,,1447,가덕해안로665번길,9,,,숙박/휴양,319,203,219,460,382,152,펜션
전원별장,35.03697853,128.8140856,부산광역시,강서구,천성동,,1437-4,가덕해안로665번길,29,,,숙박/휴양,122,488,433,188,169,89,모텔
가덕부들펜션,35.03166293,128.8247616,부산광역시,강서구,천성동,,101-7,가덕해안로773번길,250-1,Y,,숙박/휴양,314,77,312,474,358,65,펜션
로뎀펜션,35.03174159,128.8241144,부산광역시,강서구,천성동,,101-9,가덕해안로773번길,238,Y,,숙박/휴양,269,154,218,424,356,44,펜션
꿈에그린펜션,35.0320609,128.8242522,부산광역시,강서구,천성동,,107-3,가덕해안로773번길,239,Y,,숙박/휴양,464,391,397,487,473,114,펜션
자연애펜션,35.03179172,128.8248,부산광역시,강서구,천성동,,101-6,가덕해안로773번길,250,,,숙박/휴양,283,88,191,328,327,74,펜션
가덕도펜션민박,35.02841583,128.8176455,부산광역시,강서구,천성동,,775,가덕해안로821번길,90-16,Y,,숙박/휴양,132,68,93,260,152,48,펜션
초록펜션,35.02659721,128.8168296,부산광역시,강서구,천성동,,557,가덕해안로821번길,19299,Y,,숙박/휴양,214,91,139,473,305,86,펜션
노을빛펜션,35.02731297,128.8186208,부산광역시,강서구,천성동,,749,가덕해안로821번길,60-50,Y,,숙박/휴양,291,211,218,359,343,58,펜션
은행나무펜션,35.02668722,128.8167941,부산광역시,강서구,천성동,,556,가덕해안로821번길,19238,Y,,숙박/휴양,330,162,190,406,384,141,펜션
가덕도힐링민박펜션,35.02727428,128.8162801,부산광역시,강서구,천성동,,610,가덕해안로821번길,23012,Y,,숙박/휴양,276,102,113,446,430,56,펜션
펜션GALLERY가덕,35.03410714,128.8225881,부산광역시,강서구,천성동,,33,서천로42번길,52-32,Y,,숙박/휴양,233,105,231,299,260,77,펜션
백수장,35.24362832,129.0875086,부산광역시,금정구,구서동,,470-1,금강로,402,N,,숙박/휴양,124,444,363,302,157,83,모텔
호텔G&G,35.24486672,129.0919301,부산광역시,금정구,구서동,,420-40,금정로,242,Y,,숙박/휴양,112,426,301,463,141,80,호텔
카카오호텔,35.24438044,129.0914817,부산광역시,금정구,구서동,,420-52,금정로,236,Y,,숙박/휴양,135,375,291,496,283,117,호텔
호텔캔들,35.2449448,129.0904558,부산광역시,금정구,구서동,,415-30,금정로231번길,8,Y,,숙박/휴양,112,388,303,459,148,53,호텔
제니스호텔,35.2449823,129.0907235,부산광역시,금정구,구서동,,415-28,금정로233번길,9,Y,,숙박/휴양,108,372,266,480,120,77,호텔
제니스호텔,35.24497552,129.0907183,부산광역시,금정구,구서동,,415-28,금정로233번길,9,Y,,숙박/휴양,61,319,182,442,93,38,호텔
쇼모텔,35.24602969,129.0917448,부산광역시,금정구,구서동,,30956,금정로237번길,14,Y,,숙박/휴양,163,346,257,252,164,31,모텔
호텔야자,35.24743924,129.0916896,부산광역시,금정구,구서동,,31382,금정로237번길,28,Y,,숙박/휴양,262,392,382,411,289,166,호텔
9월호텔,35.24787274,129.0916538,부산광역시,금정구,구서동,,31260,금정로237번길,34,,,숙박/휴양,119,420,354,499,232,77,호텔
보브호텔,35.247583,129.0916855,부산광역시,금정구,구서동,,31352,금정로237번길,30,,,숙박/휴양,208,459,450,472,380,193,호텔
넘버25호텔,35.24798471,129.0916546,부산광역시,금정구,구서동,,85-29,금정로237번길,36,,,숙박/휴양,205,419,323,495,250,189,호텔
로즈베이호텔,35.24786181,129.0916692,부산광역시,금정구,구서동,,31260,금정로237번길,34,,,숙박/휴양,141,331,287,453,197,62,호텔
브라운도트 호텔 구서역점,35.24796884,129.0918741,부산광역시,금정구,구서동,,31229,중앙대로,1833,Y,,숙박/휴양,209,402,367,468,301,48,호텔
티에스호텔,35.25682316,129.0909085,부산광역시,금정구,구서동,,175-12,중앙대로,1931,Y,,숙박/휴양,90,254,225,332,127,88,호텔
호텔프렌치코드,35.24489876,129.0922909,부산광역시,금정구,구서동,,420-5,중앙대로1805번길,16,Y,,숙박/휴양,193,347,344,353,251,113,호텔
호텔시카고,35.25719867,129.0908739,부산광역시,금정구,구서동,,175-17,중앙대로1929번길,,Y,,숙박/휴양,289,379,375,414,334,239,호텔
파크모텔,35.25668701,129.0920876,부산광역시,금정구,구서동,,177-28,중앙대로1930번길,9,,,숙박/휴양,341,496,476,473,396,39,모텔
목화장여관,35.25772178,129.0906196,부산광역시,금정구,구서동,,175-33,중앙대로1945번길,9,Y,,숙박/휴양,131,402,368,305,195,45,모텔
드림모텔,35.22077248,129.1125727,부산광역시,금정구,금사동,,24990,개좌로,32690,Y,,숙박/휴양,180,463,326,270,231,119,모텔
천우장,35.21982244,129.1116956,부산광역시,금정구,금사동,,68-32,개좌로,25934,N,,숙박/휴양,123,475,348,202,200,51,모텔
V1모텔,35.21633713,129.1106617,부산광역시,금정구,금사동,,104-16,공단로,15,Y,,숙박/휴양,175,477,266,219,183,68,모텔
V1모텔,35.21632982,129.1106485,부산광역시,금정구,금사동,,104-16,공단로,15,Y,,숙박/휴양,278,444,407,395,388,83,모텔
새동진장여관,35.21398014,129.1094521,부산광역시,금정구,금사동,,145-30,반송로,414-1,Y,,숙박/휴양,163,426,261,220,213,154,모텔
조이게스트하우스,35.21409549,129.1094291,부산광역시,금정구,금사동,,145-16,반송로,414,,,숙박/휴양,95,280,375,30,98,65,게스트하우스
새동진장여관,35.21396062,129.1094485,부산광역시,금정구,금사동,,145-30,반송로,414-1,Y,,숙박/휴양,168,458,326,261,175,71,모텔
조이,35.21409206,129.1094288,부산광역시,금정구,금사동,,145-16,반송로,414,,,숙박/휴양,0,0,0,0,0,0,기타
휴앤고게스트하우스,35.24936983,129.0588925,부산광역시,금정구,금성동,,592-3,동문로,94,,,숙박/휴양,55,324,463,67,63,66,게스트하우스
부산학생교육원,35.25926999,129.0438168,부산광역시,금정구,금성동,,,북문로,178,,,숙박/휴양,0,0,0,0,0,0,기타
쏭하우스,35.25812807,129.0916247,부산광역시,금정구,남산동,,,중앙대로,1946,,,숙박/휴양,62,406,427,53,45,68,게스트하우스
본우효덕수련원,35.26643882,129.0924331,부산광역시,금정구,남산동,,105-7,중앙대로,2039,,,숙박/휴양,394,470,431,63,43,52,호스텔
스포원파크재난안전체험관,35.29362772,129.1067686,부산광역시,금정구,두구동,,1641,체육공원로399번길,324,Y,,숙박/휴양,0,0,0,0,0,0,기타
이데아호텔,35.2250157,129.0912549,부산광역시,금정구,부곡동,,304-11,가마실로,21,Y,,숙박/휴양,183,367,232,385,225,53,호텔
기찰탕여관,35.2384543,129.0928986,부산광역시,금정구,부곡동,,217-9,무학송로,79,,,숙박/휴양,167,388,382,354,321,100,모텔
라찌모텔,35.24258278,129.0911854,부산광역시,금정구,부곡동,,64-24,중앙대로1763번길,36-18,Y,,숙박/휴양,114,431,321,287,222,89,모텔
이화모텔,35.21541627,129.1087541,부산광역시,금정구,서동,,207-10,개좌로,,Y,,숙박/휴양,288,495,429,389,336,125,모텔
젠모텔,35.21513983,129.1065015,부산광역시,금정구,서동,,204-6,금사로,,Y,,숙박/휴양,182,455,383,367,351,122,모텔
파래스,35.21509207,129.1056031,부산광역시,금정구,서동,,203-37,금사로,,Y,,숙박/휴양,252,430,364,310,281,179,모텔
제이아트빌,35.21521624,129.1057643,부산광역시,금정구,서동,,203-31,금사로,,,,숙박/휴양,0,0,0,0,0,0,기타
늘푸른,35.21479468,129.1073521,부산광역시,금정구,서동,,206-16,서동로,187-14,,,숙박/휴양,0,0,0,0,0,0,기타
부림모텔,35.21442326,129.1075125,부산광역시,금정구,서동,,206-27,서동로,193-3,N,,숙박/휴양,203,495,387,361,324,132,모텔
헤이브호텔,35.21481219,129.1080432,부산광역시,금정구,서동,,207-26,서동로,193-14,Y,,숙박/휴양,166,404,334,436,217,51,호텔
초원장,35.21472819,129.107152,부산광역시,금정구,서동,,206-18,서동로,187-10,,,숙박/휴양,89,415,295,102,100,45,모텔
삼성여인숙,35.21541721,129.1022397,부산광역시,금정구,서동,,340-21,서동로,145-7,,,숙박/휴양,83,485,480,335,126,30,모텔
목란장,35.21430893,129.1081439,부산광역시,금정구,서동,,207-8,서동로,197-1,,,숙박/휴양,77,361,311,249,90,39,모텔
호텔 블랑,35.21500571,129.107687,부산광역시,금정구,서동,,206-3,서동로,193-15,Y,,숙박/휴양,94,413,292,452,285,42,호텔
넘버25호텔,35.21482716,129.10752,부산광역시,금정구,서동,,206-4,서동로,193-11,Y,,숙박/휴양,185,313,250,436,185,117,호텔
마이홈모텔,35.21505069,129.1068185,부산광역시,금정구,서동,,204-3,서동로175번길,19,,,숙박/휴양,71,369,340,265,91,50,모텔
굿타임,35.2140279,129.1050332,부산광역시,금정구,서동,,202-21,서동로176번길,,,,숙박/휴양,0,0,0,0,0,0,기타
장미별장여관,35.214175,129.1052743,부산광역시,금정구,서동,,202-7,서동로176번길,8,,,숙박/휴양,254,472,353,336,285,60,모텔
베니스모텔,35.21391911,129.105935,부산광역시,금정구,서동,,210-7,서동로186번길,,Y,,숙박/휴양,177,418,353,307,304,164,모텔
진영장,35.21402869,129.1060549,부산광역시,금정구,서동,,210-5,서동로186번길,12,,,숙박/휴양,175,347,306,291,194,137,모텔
청림모텔,35.21395424,129.106671,부산광역시,금정구,서동,,209-25,서동로186번길,7,,,숙박/휴양,249,390,386,370,286,134,모텔
쉐르빌모텔,35.21376459,129.1061925,부산광역시,금정구,서동,,210-8,서동로186번길,16,N,,숙박/휴양,156,388,374,337,297,136,모텔
진영모텔,35.2140373,129.1060647,부산광역시,금정구,서동,,210-5,서동로186번길,12,Y,,숙박/휴양,45,485,347,288,215,34,모텔
아마존모텔,35.21331442,129.1068925,부산광역시,금정구,서동,,208-19,서동로194번길,21,Y,,숙박/휴양,402,481,469,443,427,81,모텔
그랜드모텔,35.21380844,129.1070393,부산광역시,금정구,서동,,209-41,서동로194번길,12,Y,,숙박/휴양,147,441,433,269,267,129,모텔
몽블랑모텔,35.21396675,129.1075696,부산광역시,금정구,서동,,208-18,서동로194번길,3,Y,,숙박/휴양,147,484,364,263,167,111,모텔
마모텔,35.21399983,129.1071283,부산광역시,금정구,서동,,209-3,서동로194번길,8,Y,,숙박/휴양,364,460,443,436,416,57,모텔
금오별장,35.21391246,129.1074344,부산광역시,금정구,서동,,208-6,서동로194번길,7,,,숙박/휴양,78,467,302,271,100,37,모텔
동산여인숙,35.21766907,129.0963963,부산광역시,금정구,서동,,520-233,서동로79번길,17,,,숙박/휴양,183,407,388,372,248,181,모텔
OPENTHEDOOR,35.21593158,129.1006992,부산광역시,금정구,서동,,302-225,서동시장길,48-22,,,숙박/휴양,0,0,0,0,0,0,기타
제일여인숙,35.21661418,129.1021231,부산광역시,금정구,서동,,302-31,서동시장뒷길,43,,,숙박/휴양,136,452,349,341,291,129,모텔
동진여관,35.21400816,129.1031485,부산광역시,금정구,서동,,294-9,서동중심로,57,,,숙박/휴양,160,473,471,280,176,110,모텔
아젤리아,35.21516884,129.1055245,부산광역시,금정구,서동,,203-36,서부로4번길,14,Y,,숙박/휴양,0,0,0,0,0,0,기타
빙고모텔,35.21528673,129.1056637,부산광역시,금정구,서동,,203-1,서부로4번길,16,Y,,숙박/휴양,310,492,463,453,441,101,모텔
목화모텔,35.25771326,129.0906073,부산광역시,금정구,온천동,,444-78,중앙대로1945번길,9,N,,숙박/휴양,199,437,435,367,236,113,모텔
동평장여관,35.22502779,129.0817899,부산광역시,금정구,장전동,,580-3,,,N,,숙박/휴양,50,420,337,240,198,35,모텔
새온천모텔찜질방,35.2240551,129.0815247,부산광역시,금정구,장전동,,595-5,금강로,173-3,Y,,숙박/휴양,76,433,319,137,123,33,모텔
송원장,35.22376332,129.0814923,부산광역시,금정구,장전동,,594-8,금강로,169,N,,숙박/휴양,231,500,419,392,300,96,모텔
우보,35.22359422,129.0814342,부산광역시,금정구,장전동,,594-28,금강로,167,N,,숙박/휴양,0,0,0,0,0,0,기타
금성여인숙,35.2250455,129.0819666,부산광역시,금정구,장전동,,576-14,금강로,185,,,숙박/휴양,47,480,308,198,64,32,모텔
쉴라게스트하우스,35.23660168,129.0836898,부산광역시,금정구,장전동,,263-41,금강로279번길,111,,,숙박/휴양,74,427,310,55,34,83,게스트하우스
BUSANSPAGUESTHOUSE,35.23490211,129.0833713,부산광역시,금정구,장전동,,269-3,금강로279번길,61,,,숙박/휴양,46,292,281,94,54,38,게스트하우스
단디하우스부산대,35.23491329,129.087658,부산광역시,금정구,장전동,,382-26,금정로,116,,,숙박/휴양,58,300,338,85,98,62,게스트하우스
부산사랑게스트하우스,35.23098012,129.0862534,부산광역시,금정구,장전동,,421-3,금정로,71,,,숙박/휴양,75,412,227,66,77,41,게스트하우스
태양,35.22286211,129.0846472,부산광역시,금정구,장전동,,653-14,식물원로27번길,49,,,숙박/휴양,0,0,0,0,0,0,기타
웁스모텔,35.2242952,129.0851221,부산광역시,금정구,장전동,,605-11,식물원로27번길,6,N,,숙박/휴양,66,482,325,239,107,38,모텔
아젤리아,35.22372824,129.0844432,부산광역시,금정구,장전동,,604-5,식물원로29번길,19,,,숙박/휴양,0,0,0,0,0,0,기타
올레모텔,35.22357183,129.0842698,부산광역시,금정구,장전동,,604-10,식물원로29번길,25,Y,,숙박/휴양,170,458,454,325,281,165,모텔
로망스모텔,35.22272369,129.0861081,부산광역시,금정구,장전동,,649-20,식물원로9번길,29,Y,,숙박/휴양,54,345,292,160,58,34,모텔
맥스모텔,35.22261418,129.0848461,부산광역시,금정구,장전동,,652-21,온천장로125번길,10,Y,,숙박/휴양,231,492,470,428,364,60,모텔
모텔델루나,35.22440026,129.082447,부산광역시,금정구,장전동,,617-12,온천장로125번길,27181,Y,,숙박/휴양,189,455,379,375,248,130,모텔
HOTELYOUAIN,35.22321721,129.0843749,부산광역시,금정구,장전동,,604-16,온천장로125번길,,Y,,숙박/휴양,0,0,0,0,0,0,기타
대도여관,35.22343918,129.0842094,부산광역시,금정구,장전동,,604-30,온천장로125번길,,Y,,숙박/휴양,114,444,281,213,149,66,모텔
아라모텔,35.22245892,129.0848261,부산광역시,금정구,장전동,,652-75,온천장로125번길,8,Y,,숙박/휴양,85,413,286,283,202,81,모텔
아레스모텔,35.22338369,129.0844811,부산광역시,금정구,장전동,,604-48,온천장로125번길,28-14,,,숙박/휴양,138,474,402,349,175,121,모텔
만리장여관,35.22384332,129.0830621,부산광역시,금정구,장전동,,601-10,온천장로125번안길,6,N,,숙박/휴양,146,497,440,391,321,106,모텔
에어비앤비니하오부산,35.2342498,129.0887575,부산광역시,금정구,장전동,,365-10,장전온천천로101번길,,,,숙박/휴양,0,0,0,0,0,0,기타
태광 달방,35.22217112,129.0863136,부산광역시,금정구,장전동,,646-55,중앙대로1541번길,25,N,,숙박/휴양,0,0,0,0,0,0,기타
팔레스모텔,35.27706461,129.088686,부산광역시,금정구,청룡동,,14550,남산냇길,121,,,숙박/휴양,72,429,372,274,207,56,모텔
청룡여관,35.27537144,129.0891245,부산광역시,금정구,청룡동,,,청룡로,31,Y,,숙박/휴양,234,461,434,421,343,84,모텔
유성장모텔,35.27569492,129.0890979,부산광역시,금정구,청룡동,,16132,청룡로,32,Y,,숙박/휴양,165,483,373,371,199,147,모텔
범어장,35.27393681,129.0918485,부산광역시,금정구,청룡동,,,청룡예전로,5,Y,,숙박/휴양,128,448,266,208,185,60,모텔
범어장모텔,35.27393827,129.0918193,부산광역시,금정구,청룡동,,,청룡예전로,5,Y,,숙박/휴양,96,433,407,294,104,63,모텔
에스모텔,35.2775317,129.0891817,부산광역시,금정구,청룡동,,14397,청룡예전로43번길,17,Y,,숙박/휴양,234,449,354,308,267,194,모텔
니즈호텔,35.2744981,129.0899731,부산광역시,금정구,청룡동,,12175,팔송로24번길,52,Y,,숙박/휴양,324,424,410,492,354,250,호텔
그루브펜션,35.18619159,129.2080752,부산광역시,기장군,기장읍,시랑리,694,,,,,숙박/휴양,195,53,82,459,403,48,펜션
모닝블루펜션,35.18480567,129.2125121,부산광역시,기장군,기장읍,시랑리,545-1,공수해안길,25,Y,,숙박/휴양,107,57,82,370,366,36,펜션
바다애펜션,35.18604169,129.2133248,부산광역시,기장군,기장읍,시랑리,540-5,공수해안길,20852,Y,,숙박/휴양,260,147,238,426,306,83,펜션
오시리아펜션,35.18812494,129.2177743,부산광역시,기장군,기장읍,시랑리,453-21,공수해안길,112,Y,,숙박/휴양,350,93,253,470,415,47,펜션
시나몬하우스앤카페,35.18452008,129.2113171,부산광역시,기장군,기장읍,시랑리,581,공수해안길,15,,,숙박/휴양,67,414,299,31,83,86,게스트하우스
가온펜션,35.1844777,129.2127078,부산광역시,기장군,기장읍,시랑리,545-7,공수해안길,,Y,,숙박/휴양,407,179,240,490,472,57,펜션
타샤모텔,35.23486816,129.2152805,부산광역시,기장군,기장읍,청강리,705-6,기장대로413번길,32,Y,,숙박/휴양,187,461,359,332,281,64,모텔
골든베이펜션,35.22131533,129.2270667,부산광역시,기장군,기장읍,대변리,288,기장해안로,536,Y,,숙박/휴양,303,143,259,421,393,96,펜션
